city,company,jobtitle,jobkey,description,url,expired
Houston,Memorial Hermann,Sr. System Programmer Analyst – Virtual Desktop,b5a67be1b5aa7778,Experience assisting other programmers. System Programmer Analyst – Virtual DesktopSystem Services MPN Job Description Position responsible for programming...,http://www.indeed.com/viewjob?jk=b5a67be1b5aa7778&qd=It58WvWvRiWAhLiD1H0pL5y4ukJXtV_O-1ENltdkjO8nKxkY5UojEVq--vyb4Bky2UwCMFfE5OEM3WZfcKkfQri4m-YVuh9wmM2Zz9QHEZIkt0LCVy_rQinuMfW47e_m&indpubnum=2849821278263879&atk=1bsq816pf18jq3to,false
Houston,Texas Department of Transportation,ITS Analyst IV,a5fbc82220f1370b,Assists programmers with system problems related to flow charts| diagrams and project design. Develops and revises new and existing intelligent transportation...,http://www.indeed.com/viewjob?jk=a5fbc82220f1370b&qd=It58WvWvRiWAhLiD1H0pL5y4ukJXtV_O-1ENltdkjO8nKxkY5UojEVq--vyb4Bky2UwCMFfE5OEM3WZfcKkfQri4m-YVuh9wmM2Zz9QHEZIkt0LCVy_rQinuMfW47e_m&indpubnum=2849821278263879&atk=1bsq816pf18jq3to,false
Houston,Rice University,Spatial Humanities Initiative | Project Manager Fellows,18bb6f846704ce2d,Fellows will divide their time between their own research and up to four faculty-led Spatial Humanities projects| which might entail collaborating with...,http://www.indeed.com/viewjob?jk=18bb6f846704ce2d&qd=It58WvWvRiWAhLiD1H0pL5y4ukJXtV_O-1ENltdkjO8nKxkY5UojEVq--vyb4Bky2UwCMFfE5OEM3WZfcKkfQri4m-YVuh9wmM2Zz9QHEZIkt0LCVy_rQinuMfW47e_m&indpubnum=2849821278263879&atk=1bsq816pf18jq3to,false
Houston,The University of Texas Health Science Center at Houston (UTHealth),Programmer Analyst IV- Public Health,f025b8c77096240f,An IT/Database Leader position is immediately available in the Department of Biostatistics and Data Science| UTHealth School of Public Health| Houston| USA....,http://www.indeed.com/viewjob?jk=f025b8c77096240f&qd=It58WvWvRiWAhLiD1H0pL5y4ukJXtV_O-1ENltdkjO8nKxkY5UojEVq--vyb4Bky2UwCMFfE5OEM3WZfcKkfQri4m-YVuh9wmM2Zz9QHEZIkt0LCVy_rQinuMfW47e_m&indpubnum=2849821278263879&atk=1bsq816pf18jq3to,false
Houston,The University of Texas Health Science Center at Houston (UTHealth),Research Assistant I (Data Abstractor - Stroke),417629c2dcf36f91,In this position you will report to the Data Management and Analysis Core (DMAC) manager and work closely with the other data abstractors| data programmer and...,http://www.indeed.com/viewjob?jk=417629c2dcf36f91&qd=It58WvWvRiWAhLiD1H0pL5y4ukJXtV_O-1ENltdkjO8nKxkY5UojEVq--vyb4Bky2UwCMFfE5OEM3WZfcKkfQri4m-YVuh9wmM2Zz9QHEZIkt0LCVy_rQinuMfW47e_m&indpubnum=2849821278263879&atk=1bsq816pf18jq3to,false
Houston,University of Houston,Manager  Computing Systems,4c2d605ecad7a681,Selects| supervises| trains and provides technical work direction to application developers (computing systems analysts and programmers)....,http://www.indeed.com/viewjob?jk=4c2d605ecad7a681&qd=It58WvWvRiWAhLiD1H0pL5y4ukJXtV_O-1ENltdkjO8nKxkY5UojEVq--vyb4Bky2UwCMFfE5OEM3WZfcKkfQri4m-YVuh9wmM2Zz9QHEZIkt0LCVy_rQinuMfW47e_m&indpubnum=2849821278263879&atk=1bsq816pf18jq3to,false
Houston,MCA Communications  Inc.,Crestron/ AMX Programmer,3563ba3a2b641152,MCA Communications Inc is looking to a add full time experience Crestron/AMX programmer to our growing team. We have many opportunities for growth and provide...,http://www.indeed.com/viewjob?jk=3563ba3a2b641152&qd=It58WvWvRiWAhLiD1H0pL5y4ukJXtV_O-1ENltdkjO8nKxkY5UojEVq--vyb4Bky2UwCMFfE5OEM3WZfcKkfQri4m-YVuh9wmM2Zz9QHEZIkt0LCVy_rQinuMfW47e_m&indpubnum=2849821278263879&atk=1bsq816pf18jq3to,false
Spring,RigMinder Operating LLC,LabVIEW Programmer,da171c2de0110aac,This is a mid-level software development position located in Spring| TX. The successful candidate will develop solutions in LabVIEW| but also across the full...,http://www.indeed.com/viewjob?jk=da171c2de0110aac&qd=It58WvWvRiWAhLiD1H0pL5y4ukJXtV_O-1ENltdkjO8nKxkY5UojEVq--vyb4Bky2UwCMFfE5OEM3WZfcKkfQri4m-YVuh9wmM2Zz9QHEZIkt0LCVy_rQinuMfW47e_m&indpubnum=2849821278263879&atk=1bsq816pf18jq3to,false
Houston,Powell Electrical Systems,Build Assembly Breaker  Operator Forklift,956d67930817d167,Metal Press Machine Operator| Brake Press| Operator Forklift| Order Puller|CNC Operator Programmer| Manager Operator| Restaurant Assistant Manager| Build...,http://www.indeed.com/viewjob?jk=956d67930817d167&qd=It58WvWvRiWAhLiD1H0pL5y4ukJXtV_O-1ENltdkjO8nKxkY5UojEVq--vyb4Bky2UwCMFfE5OEM3WZfcKkfQri4m-YVuh9wmM2Zz9QHEZIkt0LCVy_rQinuMfW47e_m&indpubnum=2849821278263879&atk=1bsq816pf18jq3to,false
Houston,AVI-SPL,AV Project Specialist,9cd0c36651b326e8,Make minor programming changes under the direction of an engineer or programmer. This role is responsible for handling system testing and commissioning aspects...,http://www.indeed.com/viewjob?jk=9cd0c36651b326e8&qd=It58WvWvRiWAhLiD1H0pL5y4ukJXtV_O-1ENltdkjO8nKxkY5UojEVq--vyb4Bky2UwCMFfE5OEM3WZfcKkfQri4m-YVuh9wmM2Zz9QHEZIkt0LCVy_rQinuMfW47e_m&indpubnum=2849821278263879&atk=1bsq816pf18jq3to,false
